age,country,streaming_platform,top_genre,minutes_streamed_per_day,number_of_songs_liked,most_played_artist,subscription_type,listening_time,discover_engagement,repeat_rate,age_group,region
57,south korea,deezer,country,92,366,ed sheeran,premium,afternoon,16.94,47.39,50+,asia
48,usa,tidal,edm,399,372,post malone,premium,morning,27.44,6.13,36-50,north_america
14,japan,youtube,jazz,566,375,dua lipa,premium,afternoon,69.02,42.57,<18,asia
57,usa,youtube,country,27,133,billie eilish,premium,afternoon,78.87,38.5,50+,north_america
58,south korea,youtube,r&b,249,25,the weeknd,premium,morning,87.43,48.03,50+,asia
15,usa,amazon music,reggae,379,466,post malone,premium,night,10.67,13.93,<18,north_america
32,japan,spotify,jazz,32,219,ed sheeran,free,afternoon,77.58,50.05,26-35,asia
27,brazil,spotify,reggae,166,491,the weeknd,free,morning,29.84,14.15,26-35,south_america
44,germany,tidal,edm,407,219,post malone,free,afternoon,18.11,33.88,36-50,europe
25,usa,spotify,rock,12,200,dua lipa,premium,night,36.02,43.63,18-25,north_america
40,brazil,apple music,jazz,60,457,bad bunny,premium,afternoon,34.75,30.08,36-50,south_america
27,france,tidal,edm,143,417,taylor swift,premium,afternoon,38.1,23.79,26-35,europe
53,germany,deezer,r&b,158,207,bad bunny,premium,night,76.78,43.72,50+,europe
45,usa,deezer,reggae,19,61,drake,premium,morning,24.48,61.54,36-50,north_america
28,usa,amazon music,hip-hop,149,87,ed sheeran,free,morning,30.74,33.93,26-35,north_america
56,australia,tidal,pop,130,234,dua lipa,free,night,66.26,68.13,50+,oceania
57,india,tidal,r&b,36,161,post malone,premium,afternoon,49.7,75.75,50+,asia
47,usa,spotify,metal,40,325,ed sheeran,premium,afternoon,33.48,72.58,36-50,north_america
42,india,spotify,rock,136,480,adele,free,night,64.94,24.49,36-50,asia
58,germany,apple music,metal,214,201,the weeknd,free,afternoon,12.74,17.43,50+,europe
39,uk,youtube,jazz,54,337,post malone,premium,morning,74.69,5.1,36-50,europe
52,uk,deezer,r&b,111,432,post malone,premium,night,85.27,67.1,50+,europe
59,japan,youtube,country,300,106,ed sheeran,premium,night,45.39,20.91,50+,asia
41,japan,apple music,metal,17,496,taylor swift,premium,afternoon,53.97,7.42,36-50,asia
32,uk,deezer,jazz,256,283,the weeknd,premium,night,75.28,19.92,26-35,europe
38,france,amazon music,rock,594,47,adele,premium,morning,22.03,28.51,36-50,europe
30,germany,apple music,hip-hop,493,461,dua lipa,free,afternoon,22.85,39.03,26-35,europe
47,france,tidal,metal,579,144,drake,premium,night,41.68,22.66,36-50,europe
32,germany,apple music,edm,356,269,the weeknd,free,afternoon,38.4,65.77,26-35,europe
16,usa,tidal,classical,163,359,adele,premium,afternoon,23.79,19.95,<18,north_america
55,south korea,tidal,rock,141,119,billie eilish,premium,morning,86.18,23.25,50+,asia
47,france,apple music,r&b,216,8,bts,premium,night,40.45,58.65,36-50,europe
28,south korea,spotify,r&b,431,298,adele,free,afternoon,21.3,19.95,26-35,asia
26,brazil,deezer,metal,149,114,drake,premium,afternoon,67.69,65.11,26-35,south_america
39,uk,apple music,metal,477,445,adele,free,night,64.07,65.24,36-50,europe
59,south korea,youtube,country,10,352,billie eilish,free,morning,15.0,77.4,50+,asia
43,japan,spotify,pop,453,453,bts,premium,night,28.19,45.23,36-50,asia
39,japan,apple music,pop,553,155,billie eilish,premium,afternoon,39.17,11.94,36-50,asia
59,usa,spotify,edm,275,112,billie eilish,premium,morning,85.55,18.4,50+,north_america
35,canada,youtube,country,230,322,taylor swift,free,night,12.43,67.46,26-35,north_america
41,australia,tidal,pop,101,81,dua lipa,free,morning,32.75,55.72,36-50,oceania
56,india,amazon music,r&b,424,229,the weeknd,premium,morning,57.22,77.23,50+,asia
46,brazil,apple music,edm,437,451,bad bunny,free,morning,59.6,10.72,36-50,south_america
24,uk,deezer,rock,78,233,drake,premium,night,63.11,38.92,18-25,europe
51,usa,youtube,hip-hop,343,104,taylor swift,free,morning,37.33,12.97,50+,north_america
50,australia,spotify,reggae,73,1,post malone,free,night,53.61,15.63,36-50,oceania
58,japan,youtube,rock,597,356,bts,free,night,63.76,70.76,50+,asia
58,usa,youtube,classical,537,311,adele,premium,morning,43.64,47.53,50+,north_america
39,germany,deezer,jazz,228,263,post malone,free,morning,67.84,6.91,36-50,europe
47,japan,youtube,metal,553,441,dua lipa,premium,night,72.28,15.32,36-50,asia
57,brazil,youtube,jazz,548,217,taylor swift,free,morning,32.38,47.17,50+,south_america
46,uk,spotify,reggae,47,225,ed sheeran,free,night,36.26,78.04,36-50,europe
32,australia,tidal,pop,424,22,dua lipa,free,afternoon,89.38,25.62,26-35,oceania
46,japan,youtube,metal,523,78,drake,free,night,85.8,48.92,36-50,asia
35,france,tidal,jazz,240,143,bts,free,morning,14.49,15.15,26-35,europe
40,south korea,spotify,country,551,394,drake,premium,afternoon,67.04,51.71,36-50,asia
22,uk,deezer,country,395,151,billie eilish,premium,night,26.86,70.04,18-25,europe
39,australia,deezer,rock,176,192,bts,premium,night,76.86,35.17,36-50,oceania
37,south korea,youtube,reggae,307,213,billie eilish,free,morning,42.49,74.47,36-50,asia
51,germany,youtube,reggae,533,58,billie eilish,premium,night,61.38,45.49,50+,europe
16,canada,apple music,pop,439,231,billie eilish,free,afternoon,47.69,57.12,<18,north_america
48,usa,deezer,pop,260,426,post malone,premium,night,34.34,34.55,36-50,north_america
28,south korea,apple music,jazz,352,269,ed sheeran,free,night,34.82,18.85,26-35,asia
58,canada,spotify,hip-hop,442,296,bad bunny,free,afternoon,40.92,53.64,50+,north_america
33,canada,youtube,reggae,225,36,adele,premium,morning,28.3,37.49,26-35,north_america
30,canada,spotify,reggae,388,285,taylor swift,free,afternoon,31.28,16.46,26-35,north_america
21,south korea,deezer,country,314,187,bts,free,night,72.89,33.26,18-25,asia
40,germany,apple music,metal,261,233,the weeknd,premium,afternoon,50.69,10.23,36-50,europe
53,france,tidal,country,594,334,the weeknd,free,night,52.33,73.27,50+,europe
45,france,spotify,reggae,214,359,billie eilish,free,afternoon,42.64,56.65,36-50,europe
44,uk,youtube,classical,234,166,ed sheeran,premium,night,29.75,47.67,36-50,europe
38,japan,apple music,country,158,411,bad bunny,premium,night,77.57,41.87,36-50,asia
45,south korea,amazon music,pop,503,235,billie eilish,free,afternoon,61.38,44.54,36-50,asia
21,south korea,apple music,rock,335,336,drake,premium,morning,29.3,24.38,18-25,asia
40,australia,amazon music,hip-hop,367,106,adele,premium,morning,70.89,49.43,36-50,oceania
23,india,apple music,classical,145,102,adele,free,night,14.16,26.5,18-25,asia
44,australia,amazon music,reggae,224,210,adele,premium,night,39.97,57.26,36-50,oceania
28,south korea,amazon music,country,140,344,adele,free,night,37.12,35.75,26-35,asia
27,brazil,youtube,r&b,340,315,adele,free,afternoon,75.12,56.97,26-35,south_america
53,germany,apple music,metal,448,208,billie eilish,free,afternoon,85.82,63.43,50+,europe
43,india,spotify,country,593,488,post malone,premium,night,44.31,12.25,36-50,asia
13,brazil,amazon music,reggae,273,110,bts,premium,morning,15.81,50.06,<18,south_america
45,india,youtube,reggae,493,116,dua lipa,premium,night,11.56,24.31,36-50,asia
28,france,tidal,country,572,162,post malone,free,morning,24.54,14.87,26-35,europe
32,brazil,spotify,rock,225,188,drake,premium,afternoon,56.78,9.0,26-35,south_america
41,australia,apple music,rock,177,465,post malone,free,afternoon,30.46,62.19,36-50,oceania
58,france,apple music,rock,486,347,billie eilish,premium,morning,65.42,47.6,50+,europe
38,france,amazon music,country,600,208,billie eilish,free,night,79.74,55.48,36-50,europe
34,japan,tidal,r&b,483,340,drake,free,morning,26.46,14.65,26-35,asia
40,japan,youtube,metal,68,179,taylor swift,free,night,82.39,12.85,36-50,asia
59,australia,tidal,r&b,105,448,bts,free,night,41.77,72.27,50+,oceania
35,uk,youtube,hip-hop,520,380,post malone,premium,morning,62.82,73.61,26-35,europe
14,japan,youtube,country,342,256,dua lipa,premium,afternoon,14.82,29.45,<18,asia
36,germany,tidal,country,254,232,billie eilish,premium,afternoon,89.72,41.51,36-50,europe
13,usa,deezer,classical,483,14,bad bunny,premium,morning,33.94,73.68,<18,north_america
13,usa,amazon music,metal,189,396,bad bunny,free,morning,22.46,57.88,<18,north_america
38,france,apple music,classical,460,251,adele,premium,morning,52.63,16.48,36-50,europe
28,uk,spotify,country,174,42,adele,free,afternoon,50.7,63.3,26-35,europe
32,france,spotify,edm,78,163,adele,free,morning,67.37,26.63,26-35,europe
42,canada,tidal,country,44,97,billie eilish,premium,night,47.19,22.3,36-50,north_america
31,south korea,youtube,jazz,136,18,taylor swift,premium,morning,34.14,52.8,26-35,asia
55,usa,amazon music,country,34,108,taylor swift,premium,night,23.3,9.24,50+,north_america
48,south korea,spotify,classical,195,188,drake,premium,morning,70.37,49.32,36-50,asia
13,uk,apple music,edm,272,303,billie eilish,premium,morning,18.3,30.82,<18,europe
58,canada,amazon music,country,227,372,billie eilish,free,night,26.17,66.64,50+,north_america
26,germany,deezer,hip-hop,314,233,ed sheeran,free,morning,67.63,50.36,26-35,europe
49,japan,apple music,edm,384,327,bts,free,night,27.16,56.77,36-50,asia
52,south korea,tidal,r&b,364,4,post malone,premium,afternoon,20.7,43.88,50+,asia
31,brazil,amazon music,rock,404,14,bts,premium,morning,14.1,47.8,26-35,south_america
28,brazil,amazon music,rock,54,143,ed sheeran,premium,morning,59.97,38.64,26-35,south_america
53,usa,youtube,edm,505,409,bts,premium,afternoon,75.58,49.79,50+,north_america
56,south korea,apple music,rock,575,262,billie eilish,free,night,33.3,18.97,50+,asia
43,uk,tidal,r&b,557,95,the weeknd,premium,night,85.12,45.3,36-50,europe
42,canada,amazon music,r&b,288,320,dua lipa,free,afternoon,51.92,48.85,36-50,north_america
56,australia,apple music,metal,113,72,bts,free,afternoon,61.77,27.61,50+,oceania
23,france,tidal,hip-hop,356,424,dua lipa,free,afternoon,62.27,40.2,18-25,europe
20,australia,deezer,r&b,504,385,taylor swift,premium,afternoon,73.76,52.77,18-25,oceania
28,japan,spotify,classical,33,246,ed sheeran,premium,night,26.18,40.29,26-35,asia
55,india,spotify,jazz,119,144,taylor swift,free,afternoon,11.66,57.54,50+,asia
31,japan,youtube,reggae,593,213,bts,premium,morning,40.62,30.43,26-35,asia
35,canada,spotify,pop,240,423,bad bunny,free,morning,78.23,44.67,26-35,north_america
21,france,deezer,jazz,327,96,taylor swift,free,night,84.86,10.12,18-25,europe
60,uk,amazon music,reggae,566,380,adele,free,night,44.71,38.82,50+,europe
55,uk,youtube,jazz,541,410,billie eilish,premium,morning,28.74,75.56,50+,europe
52,brazil,tidal,rock,554,313,adele,free,night,54.68,22.27,50+,south_america
37,south korea,tidal,rock,265,203,dua lipa,free,morning,63.1,70.69,36-50,asia
50,usa,tidal,jazz,89,474,drake,premium,night,20.56,62.31,36-50,north_america
59,usa,amazon music,classical,112,294,bts,free,morning,72.27,68.39,50+,north_america
55,australia,tidal,country,259,140,drake,free,afternoon,52.07,40.92,50+,oceania
51,australia,youtube,jazz,580,267,taylor swift,premium,morning,60.06,11.08,50+,oceania
41,australia,spotify,reggae,112,164,bad bunny,premium,night,88.11,60.61,36-50,oceania
28,brazil,tidal,classical,313,148,drake,premium,night,17.76,30.55,26-35,south_america
45,south korea,apple music,reggae,159,325,dua lipa,premium,night,26.86,53.33,36-50,asia
22,japan,spotify,classical,148,245,billie eilish,premium,night,65.35,35.55,18-25,asia
25,germany,deezer,metal,308,410,billie eilish,premium,morning,37.35,11.79,18-25,europe
28,france,tidal,metal,360,162,adele,free,morning,82.09,77.4,26-35,europe
25,canada,spotify,reggae,115,334,ed sheeran,free,morning,25.09,38.89,18-25,north_america
13,australia,youtube,edm,32,35,drake,free,morning,37.79,78.12,<18,oceania
53,australia,deezer,rock,465,426,ed sheeran,premium,morning,33.74,10.19,50+,oceania
36,canada,tidal,hip-hop,487,492,post malone,premium,afternoon,18.74,66.08,36-50,north_america
47,germany,spotify,r&b,248,318,billie eilish,free,night,47.29,71.78,36-50,europe
17,japan,tidal,country,534,39,post malone,premium,afternoon,77.5,30.79,<18,asia
42,france,deezer,rock,252,258,bts,free,afternoon,27.68,41.03,36-50,europe
38,australia,youtube,jazz,239,196,bad bunny,premium,night,45.43,46.24,36-50,oceania
20,uk,youtube,reggae,467,494,ed sheeran,free,morning,60.42,15.37,18-25,europe
18,uk,youtube,country,398,203,ed sheeran,free,night,49.61,26.04,<18,europe
20,south korea,spotify,r&b,382,16,billie eilish,free,morning,26.8,15.92,18-25,asia
60,australia,amazon music,edm,309,401,ed sheeran,free,morning,40.43,9.78,50+,oceania
56,france,spotify,rock,597,375,bad bunny,free,night,28.78,15.63,50+,europe
13,france,youtube,metal,594,410,bad bunny,free,morning,76.68,19.45,<18,europe
21,usa,amazon music,country,294,98,taylor swift,premium,morning,65.33,49.29,18-25,north_america
38,india,deezer,jazz,65,285,the weeknd,premium,night,71.16,74.0,36-50,asia
26,japan,apple music,rock,390,105,drake,free,morning,68.55,67.14,26-35,asia
59,brazil,spotify,hip-hop,427,455,post malone,premium,afternoon,64.27,50.46,50+,south_america
42,south korea,deezer,metal,458,306,bad bunny,premium,morning,38.14,6.07,36-50,asia
25,uk,amazon music,jazz,309,481,billie eilish,free,night,69.84,48.0,18-25,europe
22,canada,apple music,country,175,371,bad bunny,premium,morning,51.61,62.26,18-25,north_america
29,france,spotify,r&b,43,163,billie eilish,free,night,75.7,10.92,26-35,europe
36,france,spotify,rock,73,64,ed sheeran,free,afternoon,70.93,39.42,36-50,europe
50,south korea,apple music,jazz,469,486,post malone,premium,morning,74.61,50.61,36-50,asia
21,brazil,amazon music,reggae,529,486,bts,free,night,43.19,66.15,18-25,south_america
14,germany,youtube,r&b,359,204,taylor swift,premium,morning,16.76,8.8,<18,europe
59,france,deezer,classical,472,450,dua lipa,free,night,39.32,37.11,50+,europe
48,south korea,youtube,reggae,385,320,ed sheeran,premium,morning,62.8,72.31,36-50,asia
44,brazil,deezer,hip-hop,355,316,the weeknd,premium,morning,12.54,52.68,36-50,south_america
35,france,spotify,pop,564,410,bad bunny,free,night,87.59,46.03,26-35,europe
17,brazil,youtube,metal,60,419,taylor swift,premium,night,59.64,39.29,<18,south_america
50,germany,tidal,classical,420,25,adele,premium,morning,14.42,45.89,36-50,europe
35,germany,amazon music,metal,588,236,bad bunny,free,afternoon,52.13,19.07,26-35,europe
26,australia,deezer,rock,493,74,post malone,free,night,42.35,6.14,26-35,oceania
55,uk,tidal,jazz,453,132,bts,free,afternoon,48.41,36.58,50+,europe
22,australia,deezer,jazz,241,181,drake,free,afternoon,39.86,76.48,18-25,oceania
57,brazil,amazon music,r&b,363,107,bad bunny,free,night,68.02,31.13,50+,south_america
49,canada,youtube,classical,230,73,bts,free,night,33.64,21.17,36-50,north_america
29,france,tidal,hip-hop,442,464,drake,free,night,46.99,24.97,26-35,europe
33,france,youtube,r&b,322,399,adele,premium,morning,28.46,79.61,26-35,europe
54,uk,spotify,hip-hop,369,223,dua lipa,premium,morning,66.74,37.68,50+,europe
37,japan,apple music,metal,322,15,drake,premium,night,18.08,20.86,36-50,asia
29,brazil,amazon music,edm,450,172,bad bunny,free,night,13.73,33.9,26-35,south_america
60,japan,amazon music,classical,245,147,dua lipa,free,afternoon,20.71,7.34,50+,asia
58,india,youtube,edm,539,433,dua lipa,premium,morning,38.53,13.53,50+,asia
17,usa,tidal,r&b,442,472,drake,free,morning,16.63,40.67,<18,north_america
20,australia,tidal,hip-hop,479,129,post malone,free,afternoon,19.56,34.29,18-25,oceania
45,uk,tidal,r&b,12,18,ed sheeran,free,night,47.22,62.1,36-50,europe
39,brazil,amazon music,metal,60,147,dua lipa,free,afternoon,53.2,69.2,36-50,south_america
13,uk,tidal,metal,197,2,drake,free,morning,86.69,28.85,<18,europe
13,australia,youtube,r&b,103,1,taylor swift,premium,morning,53.31,77.12,<18,oceania
29,uk,deezer,country,18,243,bad bunny,free,morning,57.83,24.37,26-35,europe
42,south korea,amazon music,r&b,177,345,billie eilish,free,night,89.33,17.17,36-50,asia
15,south korea,amazon music,hip-hop,354,425,drake,premium,morning,86.76,48.81,<18,asia
19,brazil,amazon music,jazz,75,256,the weeknd,premium,night,77.5,40.95,18-25,south_america
13,brazil,amazon music,rock,590,470,adele,free,morning,13.72,17.31,<18,south_america
43,brazil,apple music,jazz,498,167,post malone,free,night,11.97,27.7,36-50,south_america
52,australia,youtube,metal,572,213,the weeknd,free,morning,55.2,71.6,50+,oceania
38,germany,youtube,edm,475,79,bts,free,night,45.37,23.17,36-50,europe
25,usa,apple music,hip-hop,375,171,adele,free,morning,11.32,22.57,18-25,north_america
30,uk,apple music,r&b,148,204,drake,premium,night,85.26,24.18,26-35,europe
25,canada,youtube,rock,370,18,post malone,free,night,65.54,6.97,18-25,north_america
43,germany,amazon music,hip-hop,169,142,taylor swift,free,morning,40.21,77.54,36-50,europe
29,south korea,deezer,reggae,372,178,ed sheeran,free,night,84.8,7.21,26-35,asia
54,india,spotify,classical,194,256,drake,premium,night,67.02,23.9,50+,asia
40,south korea,amazon music,hip-hop,400,484,billie eilish,premium,morning,72.99,24.56,36-50,asia
60,canada,tidal,metal,192,271,bad bunny,free,night,49.83,67.56,50+,north_america
42,australia,tidal,pop,473,348,bad bunny,free,night,11.26,40.18,36-50,oceania
17,japan,deezer,metal,282,79,taylor swift,free,afternoon,43.82,6.97,<18,asia
24,brazil,youtube,metal,148,110,ed sheeran,free,night,50.8,34.81,18-25,south_america
18,india,youtube,hip-hop,295,341,dua lipa,free,night,86.63,47.02,<18,asia
34,australia,tidal,hip-hop,396,78,billie eilish,premium,afternoon,16.11,50.67,26-35,oceania
20,usa,amazon music,rock,200,314,taylor swift,premium,morning,80.44,9.14,18-25,north_america
57,brazil,tidal,edm,95,157,ed sheeran,free,night,87.44,42.48,50+,south_america
34,france,spotify,jazz,103,441,bad bunny,premium,night,16.63,75.55,26-35,europe
30,brazil,deezer,edm,294,308,adele,free,night,57.66,39.06,26-35,south_america
24,uk,tidal,r&b,539,137,billie eilish,premium,night,52.91,9.42,18-25,europe
25,germany,youtube,r&b,360,244,taylor swift,free,morning,21.37,74.14,18-25,europe
56,india,spotify,edm,355,60,post malone,premium,night,72.02,74.68,50+,asia
53,canada,deezer,reggae,381,453,ed sheeran,premium,afternoon,35.61,43.51,50+,north_america
21,uk,apple music,edm,32,397,ed sheeran,free,morning,74.24,46.33,18-25,europe
29,brazil,deezer,metal,114,384,dua lipa,premium,afternoon,66.18,66.23,26-35,south_america
46,canada,amazon music,rock,326,99,drake,free,afternoon,74.47,61.15,36-50,north_america
14,usa,deezer,hip-hop,475,441,post malone,premium,night,68.28,15.21,<18,north_america
39,germany,spotify,hip-hop,83,456,dua lipa,premium,afternoon,50.62,41.06,36-50,europe
34,south korea,youtube,reggae,479,479,bts,premium,morning,39.88,30.56,26-35,asia
26,australia,apple music,metal,104,144,bad bunny,free,night,81.77,62.51,26-35,oceania
59,france,amazon music,pop,51,468,bad bunny,free,afternoon,76.21,68.36,50+,europe
19,brazil,apple music,edm,33,444,drake,free,morning,39.72,27.94,18-25,south_america
50,brazil,deezer,country,491,1,taylor swift,premium,afternoon,89.6,57.03,36-50,south_america
40,canada,amazon music,r&b,499,395,bad bunny,premium,afternoon,52.06,47.62,36-50,north_america
35,uk,deezer,classical,594,13,bts,premium,morning,27.72,64.63,26-35,europe
33,france,apple music,jazz,78,131,adele,free,morning,64.33,73.03,26-35,europe
53,uk,tidal,hip-hop,480,187,post malone,free,night,55.26,23.01,50+,europe
59,australia,deezer,edm,164,79,the weeknd,free,night,81.3,26.53,50+,oceania
40,france,spotify,classical,255,12,drake,free,morning,65.38,62.43,36-50,europe
44,canada,amazon music,rock,198,35,drake,free,afternoon,20.87,15.08,36-50,north_america
20,south korea,deezer,pop,154,377,dua lipa,free,night,81.05,63.88,18-25,asia
33,japan,deezer,reggae,541,302,dua lipa,premium,night,50.74,56.53,26-35,asia
16,uk,youtube,rock,435,256,post malone,free,night,37.09,40.75,<18,europe
52,uk,deezer,metal,148,377,drake,free,afternoon,73.66,42.41,50+,europe
26,usa,tidal,reggae,263,410,the weeknd,free,night,16.9,57.48,26-35,north_america
25,brazil,youtube,r&b,195,337,post malone,premium,morning,80.64,26.9,18-25,south_america
58,brazil,tidal,reggae,89,378,the weeknd,premium,night,25.93,74.39,50+,south_america
55,uk,youtube,edm,424,363,ed sheeran,premium,night,56.56,62.77,50+,europe
24,india,tidal,jazz,551,479,bts,free,night,69.36,73.52,18-25,asia
31,india,amazon music,jazz,465,15,post malone,free,morning,54.36,54.62,26-35,asia
29,india,tidal,edm,453,137,dua lipa,premium,afternoon,42.22,49.34,26-35,asia
37,france,apple music,classical,349,58,post malone,premium,morning,28.37,7.46,36-50,europe
30,brazil,youtube,jazz,537,91,adele,free,morning,50.31,74.93,26-35,south_america
34,france,amazon music,metal,154,365,ed sheeran,premium,morning,56.13,74.54,26-35,europe
20,india,deezer,r&b,61,157,bts,free,night,56.26,30.97,18-25,asia
19,south korea,youtube,classical,85,5,drake,free,afternoon,46.85,37.62,18-25,asia
21,usa,amazon music,classical,467,453,drake,free,afternoon,23.87,59.73,18-25,north_america
43,france,amazon music,reggae,134,174,billie eilish,premium,afternoon,46.36,70.62,36-50,europe
59,usa,spotify,metal,167,200,dua lipa,premium,morning,38.06,10.49,50+,north_america
17,south korea,apple music,pop,590,171,bad bunny,premium,night,27.74,32.03,<18,asia
42,uk,deezer,rock,382,369,bts,free,morning,48.03,29.7,36-50,europe
24,india,apple music,r&b,12,253,drake,premium,night,69.94,74.01,18-25,asia
29,japan,deezer,reggae,310,18,bad bunny,premium,night,12.6,25.65,26-35,asia
60,uk,tidal,r&b,30,157,the weeknd,free,morning,80.49,38.07,50+,europe
49,france,amazon music,jazz,45,451,adele,free,morning,74.08,53.86,36-50,europe
19,france,tidal,reggae,474,373,adele,premium,afternoon,47.13,64.69,18-25,europe
58,germany,spotify,classical,471,272,dua lipa,premium,morning,33.63,18.09,50+,europe
56,france,youtube,country,225,39,dua lipa,premium,night,42.52,63.3,50+,europe
57,canada,spotify,metal,233,384,ed sheeran,premium,morning,43.41,46.45,50+,north_america
47,australia,deezer,jazz,115,15,bts,free,afternoon,20.95,66.81,36-50,oceania
32,india,deezer,jazz,133,274,ed sheeran,premium,morning,50.67,40.36,26-35,asia
15,canada,amazon music,rock,576,408,billie eilish,premium,night,77.2,30.58,<18,north_america
47,australia,tidal,metal,91,122,dua lipa,premium,afternoon,66.99,57.87,36-50,oceania
55,india,tidal,hip-hop,90,376,post malone,free,morning,18.76,16.22,50+,asia
28,india,amazon music,reggae,426,173,post malone,premium,night,80.82,27.08,26-35,asia
32,uk,apple music,country,128,78,post malone,premium,afternoon,21.55,23.72,26-35,europe
37,uk,tidal,jazz,236,239,drake,free,afternoon,76.11,32.44,36-50,europe
32,australia,apple music,r&b,422,22,adele,free,night,79.34,51.61,26-35,oceania
25,india,youtube,reggae,349,8,adele,premium,morning,36.59,58.82,18-25,asia
40,brazil,amazon music,metal,290,106,bts,premium,morning,11.29,24.88,36-50,south_america
34,australia,amazon music,r&b,103,114,bts,free,night,29.93,51.43,26-35,oceania
48,france,tidal,hip-hop,306,499,bad bunny,free,afternoon,47.41,52.13,36-50,europe
35,germany,deezer,reggae,551,421,drake,premium,afternoon,67.56,36.97,26-35,europe
51,uk,youtube,metal,455,93,dua lipa,premium,afternoon,54.68,20.76,50+,europe
49,australia,spotify,rock,409,369,billie eilish,premium,afternoon,72.8,64.89,36-50,oceania
25,australia,youtube,metal,554,432,the weeknd,free,morning,69.77,21.96,18-25,oceania
17,brazil,amazon music,country,521,427,adele,premium,morning,71.59,75.49,<18,south_america
58,canada,amazon music,rock,458,109,drake,premium,night,77.48,68.72,50+,north_america
39,brazil,deezer,pop,12,202,post malone,premium,afternoon,48.96,43.88,36-50,south_america
56,canada,spotify,classical,411,396,taylor swift,premium,night,44.18,25.19,50+,north_america
50,india,apple music,classical,227,88,ed sheeran,premium,morning,30.05,9.94,36-50,asia
28,brazil,amazon music,r&b,334,312,post malone,premium,morning,61.69,49.8,26-35,south_america
55,germany,apple music,r&b,566,63,billie eilish,free,morning,68.78,13.62,50+,europe
17,japan,amazon music,hip-hop,74,238,bts,premium,night,75.39,67.55,<18,asia
37,australia,tidal,pop,210,306,bad bunny,premium,morning,56.66,28.55,36-50,oceania
13,germany,tidal,pop,480,83,bts,premium,night,57.53,12.63,<18,europe
13,usa,amazon music,reggae,14,15,post malone,free,afternoon,82.11,57.9,<18,north_america
43,france,deezer,pop,13,299,post malone,premium,morning,88.87,69.69,36-50,europe
59,south korea,spotify,hip-hop,27,15,billie eilish,free,afternoon,69.34,36.17,50+,asia
43,india,apple music,classical,134,151,adele,premium,morning,49.61,51.74,36-50,asia
60,australia,deezer,r&b,587,294,bts,premium,morning,34.29,10.04,50+,oceania
45,brazil,tidal,reggae,44,495,bts,free,night,10.43,24.65,36-50,south_america
39,canada,tidal,pop,247,311,bts,free,morning,32.24,73.9,36-50,north_america
17,usa,tidal,edm,33,265,taylor swift,free,night,20.92,47.79,<18,north_america
21,japan,spotify,reggae,240,32,the weeknd,free,afternoon,24.89,57.76,18-25,asia
29,france,spotify,jazz,489,326,drake,free,morning,63.82,79.1,26-35,europe
22,japan,spotify,metal,139,384,ed sheeran,premium,afternoon,51.97,76.04,18-25,asia
60,brazil,deezer,r&b,127,38,bts,free,afternoon,27.56,22.05,50+,south_america
31,brazil,deezer,jazz,458,32,taylor swift,free,morning,16.58,11.87,26-35,south_america
18,south korea,apple music,metal,275,165,bad bunny,free,morning,87.35,11.26,<18,asia
31,france,spotify,pop,343,437,bts,premium,night,25.92,78.08,26-35,europe
19,usa,amazon music,edm,583,448,bad bunny,free,night,28.38,50.86,18-25,north_america
25,australia,tidal,pop,284,425,drake,premium,afternoon,23.86,16.8,18-25,oceania
38,south korea,youtube,metal,534,459,bad bunny,premium,morning,38.59,66.59,36-50,asia
59,france,tidal,pop,523,495,drake,free,night,84.29,16.0,50+,europe
29,uk,amazon music,pop,65,400,drake,premium,morning,19.98,70.9,26-35,europe
34,canada,spotify,pop,338,41,the weeknd,premium,morning,75.25,40.92,26-35,north_america
41,brazil,tidal,classical,329,158,dua lipa,free,morning,49.56,46.08,36-50,south_america
28,germany,spotify,r&b,535,93,taylor swift,premium,night,88.97,66.97,26-35,europe
58,south korea,deezer,country,302,68,adele,free,night,48.4,39.11,50+,asia
43,japan,amazon music,country,513,446,adele,premium,morning,85.81,64.99,36-50,asia
24,brazil,deezer,pop,318,451,post malone,free,afternoon,13.73,34.15,18-25,south_america
27,india,deezer,rock,25,162,bts,free,morning,68.46,35.12,26-35,asia
23,south korea,youtube,reggae,457,438,drake,premium,night,38.27,25.73,18-25,asia
35,brazil,apple music,pop,379,341,bts,premium,night,61.49,43.76,26-35,south_america
50,germany,deezer,hip-hop,13,490,taylor swift,premium,afternoon,17.01,29.59,36-50,europe
40,germany,apple music,edm,504,185,bad bunny,premium,night,11.21,41.53,36-50,europe
49,japan,spotify,rock,125,305,drake,premium,morning,62.41,68.1,36-50,asia
17,south korea,tidal,jazz,170,226,bts,premium,morning,20.66,66.0,<18,asia
27,canada,apple music,hip-hop,67,113,drake,free,afternoon,12.49,6.72,26-35,north_america
18,japan,spotify,classical,320,434,adele,free,morning,19.21,29.64,<18,asia
30,india,spotify,reggae,212,316,adele,free,afternoon,45.97,73.61,26-35,asia
14,germany,youtube,jazz,236,332,bad bunny,free,night,82.19,50.73,<18,europe
28,usa,spotify,metal,15,35,ed sheeran,premium,night,79.72,35.48,26-35,north_america
60,japan,deezer,rock,402,109,post malone,free,morning,62.29,54.93,50+,asia
47,south korea,spotify,rock,522,162,billie eilish,free,night,62.49,36.53,36-50,asia
